what,kind,bundleId,bundleVersion,description,time
processors,sysinfo,,,"8",1372017145879
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1372017145879
java.runtime.version,sysinfo,,,"1.6.0_45-b06-451-11M4406",1372017145879
java.specification.name,sysinfo,,,"Java Platform API Specification",1372017145879
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1372017145879
java.specification.version,sysinfo,,,"1.6",1372017145879
java.vendor,sysinfo,,,"Apple Inc.",1372017145879
java.version,sysinfo,,,"1.6.0_45",1372017145879
java.vm.info,sysinfo,,,"mixed mode",1372017145879
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1372017145879
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1372017145879
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1372017145879
java.vm.specification.version,sysinfo,,,"1.0",1372017145879
java.vm.vendor,sysinfo,,,"Apple Inc.",1372017145879
java.vm.version,sysinfo,,,"20.45-b01-451",1372017145879
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1372017147356
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1372017147367
closed,view,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.internal.introview",1372017147378
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1372017151260
error,log,,,"Unable to create editor ID org.eclipse.ui.DefaultTextEditor: The file does not exist.",1372017151301
opened,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1372017151304
opened,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1372017151313
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1372017151331
closed,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1372017151331
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1372017155756
closed,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1372017155756
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.200.v201101281837,"org.eclipse.wst.xsl.debug.ui",1372017156717
started,bundle,org.eclipse.wst.jsdt.core,1.1.102.v201111090634,"org.eclipse.wst.jsdt.core",1372017157488
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.300.v201104272153,"org.eclipse.wst.jsdt.manipulation",1372017157522
started,bundle,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui",1372017157524
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372017157621
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372017159972
executed,command,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.navigate.open.type",1372017159994
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372017165468
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372017194046
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.openLocalFile",1372017194059
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372017202590
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372017204077
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372017205787
